license_number,provider_name,first_name,last_name,middle_name,suffix,license_type,specialty,secondary_specialty,status,issue_date,expiration_date,renewal_date,address_line1,address_city,address_state,address_zip,county,phone,email,medical_school,medical_school_graduation_year,residency_program,board_certification,languages,public_record,disciplinary_history,malpractice_insurance,hospital_affiliations,last_updated
A21395,"Rajesh Davis, MD",Rajesh,Davis,,MD,Physician and Surgeon,Pulmonology,,Expired,2020-07-28,2025-05-14,2024-12-20,4013 Hollywood Blvd,SAN FRANCISCO,CA,90002,Alameda,818  865.9928,,University of Michigan Medical School,1991,NewYork-Presbyterian Hospital,Pulmonology,"English, Mandarin",False,None,Yes,UCSF Medical Center,2025-05-07
A21915,"Joseph Chen, MD PhD",Joseph,Chen,,MD PhD,Physician and Surgeon,Cardiology,,Expired,2021-08-24,2023-04-07,2022-07-18,7020 Pico Blvd,Oakland,CA,91001,San Diego,(323) 457-1188,joseph.chen@email.com,Columbia University Vagelos College of Physicians and Surgeons,1986,UCLA Medical Center,Cardiology,"English, Spanish, Portuguese",True,None,No,UCSF Medical Center,2025-08-10
A36365,"David Shah, MD",David,Shah,,MD,Physician and Surgeon,Oncology,,Expired,2021-05-17,2024-09-30,2024-01-10,8728 Sunset Blvd,San Francisco,CA,93001,San Diego,(212) 802-4770,,Stanford University School of Medicine,2018,Massachusetts General Hospital,Oncology,"English, Spanish, Portuguese",True,None,Yes,,2025-08-06
A17455,"Christopher Brown, MD",Christopher,Brown,,MD,Physician and Surgeon,Pediatrics,Internal Medicine,Active,2020-11-25,2025-11-06,2025-04-11,937 Main St,Santa Ana,CA,94001,Sacramento,(424) 808-1651,christopher.brown@email.com,University of Michigan Medical School,1994,UCLA Medical Center,Pediatrics,"English, Spanish, Portuguese",True,None,Yes,UCSF Medical Center,2025-06-02
A30374,"Susan Smith, MD PhD",Susan,Smith,,MD PhD,Physician and Surgeon,Anesthesiology,Oncology,Expired,2021-12-25,2024-07-11,2024-04-13,1698 Sunset Blvd,Fresno,CA,90002,San Diego,(718) 849-7939,,NYU Grossman School of Medicine,2020,Mayo Clinic,Anesthesiology,English,False,None,Unknown,Kaiser Permanente,2025-03-13
A39831,"Fatima Perez, DO PhD",Fatima,Perez,,DO PhD,Physician and Surgeon,Family Medicine,,Expired,2020-11-11,2024-04-01,2023-07-22,4066 Melrose Ave,San Francisco,CA,90002,Los Angeles,626- 749-6425,fatima.perez@email.com,Johns Hopkins School of Medicine,2000,NewYork-Presbyterian Hospital,Family Medicine,English,False,None,Unknown,UCLA Medical Center,2025-03-31
A80575,"Karen Ramirez, MD PhD",Karen,Ramirez,,MD PhD,Physician and Surgeon,Pathology,,Expired,2020-08-22,2024-02-08,2023-07-22,5140 Rodeo Dr,San Diego,CA,92001,Alameda,(626) 618-6344,,Johns Hopkins School of Medicine,1985,Cleveland Clinic,,"English, Mandarin",True,None,Yes,,2025-05-04
A62383,"Thomas, Michael DO PhD",Michael,Thomas,,DO PhD,Physician and Surgeon,Urology,,Expired,2021-11-17,2024-05-14,2023-12-07,1194 Santa Monica Blvd,Oakland,CA,95001,Santa Clara,(917) 324-8478,,Yale School of Medicine,1987,UCLA Medical Center,,English,True,None,Unknown,Stanford Hospital,2025-03-16
A93579,"Wei Kumar, DO PhD",Wei,Kumar,B,DO PhD,Physician and Surgeon,Endocrinology,,Expired,2022-02-21,2024-07-21,2023-10-17,8977 Santa Monica Blvd,San Francisco,CA,93001,Contra Costa,929  753.2320,wei.kumar@email.com,UCLA David Geffen School of Medicine,2002,Mayo Clinic,Endocrinology,"English, Mandarin",True,None,Unknown,,2025-08-17
A21003,"Priya Sanchez, DO",Priya,Sanchez,D,DO,Physician and Surgeon,Dermatology,,Expired,2023-06-10,2025-05-27,2025-05-08,2092 Pico Blvd,Los Angeles,CA,92001,Fresno,(929) 979-7211,priya.sanchez@email.com,Stanford University School of Medicine,2000,Mount Sinai Hospital,,"English, Spanish, Portuguese",False,None,Unknown,Stanford Hospital,2025-03-23
