npi,entity_type_code,replacement_npi,employer_identification_number,provider_organization_name,provider_last_name,provider_first_name,provider_middle_name,provider_name_prefix,provider_name_suffix,provider_credential_text,provider_other_organization_name,provider_other_organization_name_type_code,provider_other_last_name,provider_other_first_name,provider_other_middle_name,provider_other_name_prefix,provider_other_name_suffix,provider_other_credential_text,provider_other_last_name_type_code,provider_business_mailing_address_line1,provider_business_mailing_address_line2,provider_business_mailing_address_city,provider_business_mailing_address_state,provider_business_mailing_address_zip,provider_business_mailing_address_country_code,provider_business_mailing_address_phone,provider_business_mailing_address_fax,provider_business_practice_location_address_line1,provider_business_practice_location_address_line2,provider_business_practice_location_address_city,provider_business_practice_location_address_state,provider_business_practice_location_address_zip,provider_business_practice_location_address_country_code,provider_business_practice_location_address_phone,provider_business_practice_location_address_fax,provider_enumeration_date,last_update_date,npi_deactivation_reason_code,npi_deactivation_date,npi_reactivation_date,provider_gender_code,authorized_official_last_name,authorized_official_first_name,authorized_official_middle_name,authorized_official_title,authorized_official_phone,healthcare_provider_taxonomy_code_1,provider_license_number_1,provider_license_number_state_code_1,healthcare_provider_primary_taxonomy_switch_1,healthcare_provider_taxonomy_code_2,provider_license_number_2,provider_license_number_state_code_2,healthcare_provider_primary_taxonomy_switch_2,other_provider_identifier_1,other_provider_identifier_type_code_1,other_provider_identifier_state_1,other_provider_identifier_issuer_1,other_provider_identifier_2,other_provider_identifier_type_code_2,other_provider_identifier_state_2,other_provider_identifier_issuer_2,is_sole_proprietor,is_organization_subpart,parent_organization_lbn,parent_organization_tin,npi_certification_date
0133890832,1,,,,Davis,Rajesh,,,,MD,,,,,,,,,,4013 Hollywood Blvd,,SAN FRANCISCO,CA,90002,US,818  865.9928,(310) 326-8430,4013 Hollywood Blvd,,SAN FRANCISCO,CA,90002,US,818  865.9928,(310) 326-8430,12/06/2022,03/18/2025,,,,,,,,,,207RP1001X,A21395,CA,Y,,,,,"{""identifier"": ""A21395"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,,,,,Y,N,,,12/06/2022
7816184956,1,,,,Ramirez,Ahmed,R,,,MD PhD,,,,,,,,,,3528 Third Ave,,Brooklyn,NY,10002,US,(424) 396-2139,,3528 Third Ave,,Brooklyn,NY,10002,US,(424) 396-2139,,02/04/2017,02/18/2025,,,,M,,,,,,207R00000X,060NY460663,NY,Y,,,,,,,,,,,,,,N,,,02/04/2017
0305641393,1,,,,Robinson,Thomas,,,,MD PhD,,,,,,,,,,5821 Park Ave,,Buffalo,NY,10002,US,(818) 522-4483,,5821 Park Ave,,Buffalo,NY,10002,US,(818) 522-4483,,06/10/2019,01/05/2025,,,,F,,,,,,207R00000X,060NY821590,NY,Y,,,,,"{""identifier"": ""060NY821590"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",05,NY,NY Medical Board,,,,,Y,N,,,06/10/2019
2269166973,1,,79-3142723,,Chen,Joseph,J,,,MD PhD,,,,,,,,,,7020 Pico Blvd,Suite 241,Oakland,CA,91001,US,(323) 457-1188,,7020 Pico Blvd,Suite 241,Oakland,CA,91001,US,(323) 457-1188,,10/21/2018,08/27/2025,,,,M,,,,,,207RC0000X,A21915,CA,Y,207Q00000X,,,N,"{""identifier"": ""A21915"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,"{""identifier"": ""BF4238025"", ""type_code"": ""01"", ""state"": ""CA"", ""issuer"": ""DEA""}",01,CA,DEA,Y,N,,,10/21/2018
3252880955,1,,,,Hernandez,Linda,J,,,DO PhD,,,,,,,,,,4316 York Ave,,Queens,NY,14201,US,3102192832,(718) 825-1570,4316 York Ave,,Queens,NY,14201,US,3102192832,(718) 825-1570,10/30/2024,10/02/2024,,,,,,,,,,207U00000X,060NY412942,NY,Y,,,,,,,,,,,,,,N,,,10/30/2024
5787133150,1,,,,Shah,David,,,,MD,,,,,,,,,,8728 Sunset Blvd,,San Francisco,CA,93001,US,212 802 4770,(917) 764-2233,8728 Sunset Blvd,,San Francisco,CA,93001,US,212 802 4770,(917) 764-2233,12/15/2018,09/07/2024,,,,M,,,,,,207RO0300X,A36365,CA,Y,,,,,"{""identifier"": ""A36365"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,"{""identifier"": ""BB5541971"", ""type_code"": ""01"", ""state"": ""CA"", ""issuer"": ""DEA""}",01,CA,DEA,N,N,,,12/15/2018
7631165667,1,,32-7261161,,Williams,Mohammed,M,,,MD PhD,,,,,,,,,,3900 Lexington Ave,,Syracuse,NY,10004,US,(310) 946-1887,(818) 599-5190,3900 Lexington Ave,,Syracuse,NY,10004,US,(310) 946-1887,(818) 599-5190,05/14/2020,08/19/2025,,,,M,,,,,,207P00000X,060NY698782,NY,Y,,,,,"{""identifier"": ""060NY698782"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",05,NY,NY Medical Board,,,,,Y,N,,,05/14/2020
6773602605,1,,,,Gonzalez,Christopher,,,,DO PhD,,,,,,,,,,3007 Lexington Ave,,Syracuse,NY,10004,US,(213) 471-8454,(424) 252-1580,3007 Lexington Ave,,Syracuse,NY,10004,US,(213) 471-8454,(424) 252-1580,04/03/2016,09/12/2024,,,,F,,,,,,207X00000X,060NY197793,NY,Y,207L00000X,,,N,"{""identifier"": ""060NY197793"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",05,NY,NY Medical Board,"{""identifier"": ""BM2672332"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",01,NY,DEA,Y,N,,,04/03/2016
2191361936,1,,,,Brown,Christopher,J,Prof.,,MD,,,,,,,,,,937 Main St,,Santa Ana,CA,94001,US,,,937 Main St,,Santa Ana,CA,94001,US,(424) 808-1651,(929) 998-4873,07/23/2020,09/12/2024,,,,,,,,,,208000000X,A17455,CA,Y,207RG0100X,,,N,"{""identifier"": ""A17455"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,"{""identifier"": ""BB1589684"", ""type_code"": ""01"", ""state"": ""CA"", ""issuer"": ""DEA""}",01,CA,DEA,Y,N,,,07/23/2020
9911838427,1,,,,Lee,Priya,,,,DO,,,,,,,,,,2145 Columbus Ave,,Buffalo,NY,11203,US,(929) 270-5002,(424) 212-1425,2145 Columbus Ave,,Buffalo,NY,11203,US,(929) 270-5002,(424) 212-1425,04/03/2020,10/28/2024,,,,M,,,,,,207RP1001X,060NY176066,NY,Y,207RN0300X,,,N,"{""identifier"": ""060NY176066"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",05,NY,NY Medical Board,"{""identifier"": ""BM5083490"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",01,NY,DEA,Y,N,,,04/03/2020
