license_number,provider_name,first_name,last_name,license_type,profession_code,specialty,status,issue_date,expiration_date,last_renewal_date,address_line1,address_city,address_state,address_zip,phone,disciplinary_actions,board_certified,medical_school,verification_date
060NY460663,"Ramirez, Ahmed MD PhD",Ahmed,Ramirez,Physician,060,Internal Medicine,Expired,2019-02-27,2024-06-25,2024-04-02,3528 Third Ave,Brooklyn,NY,10002,(424) 396-2139,[],True,Stanford University School of Medicine,2025-09-02
060NY821590,"Thomas Robinson, MD PhD",Thomas,Robinson,Physician,060,Radiology,Expired,2017-10-08,2024-03-25,2023-10-24,5821 Park Ave,Buffalo,NY,10002,(818) 522-4483,[],False,UCSF School of Medicine,2025-09-02
060NY412942,"Linda Hernandez, DO PhD",Linda,Hernandez,Physician,060,Urology,Active,2021-02-01,2025-11-05,2023-11-22,4316 York Ave,Queens,NY,14201,3102192832,[],False,Harvard Medical School,2025-09-02
060NY698782,"Mohammed Williams, MD PhD",Mohammed,Williams,Physician,060,Psychiatry,Expired,2023-05-14,2025-08-26,2024-11-01,3900 Lexington Ave,Syracuse,NY,10004,(310) 946-1887,"[{""action_type"": ""Fine"", ""action_date"": ""2025-05-29"", ""description"": ""Disciplinary action related to documentation""}]",True,UCLA David Geffen School of Medicine,2025-09-02
060NY197793,"Christopher Gonzalez, DO PhD",Christopher,Gonzalez,Physician,060,Orthopedic Surgery,Expired,2020-04-09,2024-04-29,2022-05-14,3007 Lexington Ave,Syracuse,NY,10004,(213) 471-8454,[],False,UCSF School of Medicine,2025-09-02
060NY176066,"Priya Lee, DO",Priya,Lee,Physician,060,Pulmonology,Expired,2017-11-06,2023-01-20,2022-08-04,2145 Columbus Ave,Buffalo,NY,11203,(929) 270-5002,[],False,UCSF School of Medicine,2025-09-02
060NY255287,"William Lewis, DO PhD",William,Lewis,Physician,060,Dermatology,Expired,2021-07-24,2025-05-30,2023-10-12,1833 Fifth Ave,Queens,NY,14201,(323) 616-3532,[],True,UCLA David Geffen School of Medicine,2025-09-02
060NY786508,"Jennifer Lopez, MD PhD",Jennifer,Lopez,Physician,060,Pulmonology,Expired,2019-05-13,2024-10-21,2023-06-07,7 Lexington Ave,Buffalo,NY,10004,(626) 848-6491,"[{""action_type"": ""Fine"", ""action_date"": ""2024-08-20"", ""description"": ""Disciplinary action related to professional conduct""}]",True,University of Pennsylvania Perelman School of Medicine,2025-09-02
060NY907189,David Clark DO PhD,David,Clark,Physician,060,Otolaryngology,Expired,2019-06-25,2023-02-10,2021-08-21,7634 Second Ave,New York,NY,10004,(424) 425-8999,[],False,UCSF School of Medicine,2025-09-02
060NY497399,Susan Moore DO PhD,Susan,Moore,Physician,060,Family Medicine,Expired,2021-04-17,2024-11-19,2023-08-04,9708 Lexington Avenue,Rochester,NY,10004,(424) 918-5526,[],True,University of Pennsylvania Perelman School of Medicine,2025-09-02
060NY819796,"Mary Lopez, MD",Mary,Lopez,Physician,060,Dermatology,Expired,2019-11-05,2023-04-20,2021-05-04,7828 Fifth Ave,Brooklyn,NY,11202,424  833.4697,[],False,UCSF School of Medicine,2025-09-02
060NY617781,"William Martin, MD PhD",William,Martin,Physician,060,Pediatrics,Expired,2020-09-03,2025-06-15,2023-07-11,7680 Central Park West,Buffalo,NY,11202,(626) 789-1339,[],False,Harvard Medical School,2025-09-02
060NY436653,"Rajesh Lewis, MD PhD",Rajesh,Lewis,Physician,060,Orthopedic Surgery,Expired,2019-05-21,2023-08-03,2021-09-22,9591 Second Ave,Syracuse,NY,10002,(929) 458-6296,[],False,Harvard Medical School,2025-09-02
060NY950823,"LI GONZALEZ, DO",Li,Gonzalez,Physician,060,Radiology,Expired,2018-08-06,2025-02-19,2023-09-17,3827 Second Ave,New York,NY,11201,(718) 738-8486,[],True,Johns Hopkins School of Medicine,2025-09-02
