provider_id,npi,first_name,last_name,credential,full_name,primary_specialty,practice_address_line1,practice_address_line2,practice_city,practice_state,practice_zip,practice_phone,mailing_address_line1,mailing_address_line2,mailing_city,mailing_state,mailing_zip,license_number,license_state,license_expiration,accepting_new_patients,board_certified,years_in_practice,medical_school,residency_program,last_updated,taxonomy_code
PR_00001,0133890832,Rajesh,Davis,MD,"Rajesh Davis, MD",Pulmonology,4013 Hollywood Blvd,,SAN FRANCISCO,CA,90002,818  865.9928,4013 Hollywood Blvd,,San Francisco,CA,90002,A21395,CA,2025-05-14,No,True,29,University of Michigan Medical School,NewYork-Presbyterian Hospital,2025-08-30,221429110X
PR_00002,7816184956,Ahmed,Ramirez,MD PhD,"Ahmed Ramirez, MD PhD",Internal Medicine,3528 Third Ave,,Brooklyn,NY,10002,(424) 396-2139,3528 Third Ave,,Brooklyn,NY,10002,060NY460663,NY,2024-06-25,Yes,True,19,Stanford University School of Medicine,Cleveland Clinic,2025-07-13,251019678X
PR_00003,0305641393,Thomas,Robinson,MD PhD,"Thomas Robinson, MD PhD",Radiology,5821 Park Ave,,Buffalo,NY,10002,(818) 522-4483,4011 Madison Ave,Suite 755,Syracuse,NY,11202,060NY821590,NY,2024-03-25,Unknown,False,26,UCSF School of Medicine,Mayo Clinic,2025-04-20,218740864X
PR_00004,2269166973,Joseph,Chen,MD PhD,"Joseph Chen, MD PhD",Cardiology,7020 Pico Blvd,Suite 241,Oakland,CA,91001,(323) 457-1188,7020 Pico Blvd,Suite 241,Oakland,CA,91001,A21915,CA,2023-04-07,Unknown,True,35,Columbia University Vagelos College of Physicians and Surgeons,UCLA Medical Center,2025-07-07,239392920X
PR_00005,3252880955,Linda,Hernandez,DO PhD,"Linda Hernandez, DO PhD",Urology,4316 York Ave,,Queens,NY,14201,3102192832,4316 York Ave,,Queens,NY,14201,060NY412942,NY,2025-11-05,No,False,16,Harvard Medical School,Cleveland Clinic,2024-11-16,210570592X
PR_00006,5787133150,David,Shah,MD,"David Shah, MD",Oncology,8728 Sunset Blvd,,San Francisco,CA,93001,(212) 802-4770,8646 Pico Blvd,,Oakland,CA,90004,A36365,CA,2024-09-30,Unknown,True,1,Stanford University School of Medicine,Massachusetts General Hospital,2025-05-08,209046318X
PR_00007,7631165667,Mohammed,Williams,MD PhD,"Mohammed Williams, MD PhD",Psychiatry,3900 Lexington Ave,,Syracuse,NY,10004,(310) 946-1887,3900 Lexington Ave,,Syracuse,NY,10004,060NY698782,NY,2025-08-26,Unknown,True,4,UCLA David Geffen School of Medicine,UCLA Medical Center,2025-07-09,233374088X
PR_00008,6773602605,Christopher,Gonzalez,DO PhD,"Christopher Gonzalez, DO PhD",Orthopedic Surgery,3007 Lexington Ave,,Syracuse,NY,10004,(213) 471-8454,9017 Fifth Ave,,New York,NY,14201,060NY197793,NY,2024-04-29,No,False,36,UCSF School of Medicine,Mayo Clinic,2025-05-28,239823450X
PR_00009,2191361936,Christopher,Brown,MD,"Christopher Brown, MD",Pediatrics,937 Main St,,Santa Ana,CA,94001,(424) 808-1651,937 Main St,,Santa Ana,CA,94001,A17455,CA,2025-11-06,Unknown,True,27,University of Michigan Medical School,UCLA Medical Center,2025-04-22,227415205X
PR_00010,9911838427,Priya,Lee,DO,"Priya Lee, DO",Pulmonology,2145 Columbus Ave,,Buffalo,NY,11203,(929) 270-5002,2145 Columbus Ave,,Buffalo,NY,11203,060NY176066,NY,2023-01-20,No,False,11,UCSF School of Medicine,NewYork-Presbyterian Hospital,2024-10-24,287775215X
PR_00011,9353487408,Susan,Smith,MD PhD,"Susan Smith, MD PhD",Anesthesiology,1698 Sunset Blvd,,Fresno,CA,90002,(718) 849-7939,1698 Sunset Blvd,,Fresno,CA,90002,A30374,CA,2024-07-11,No,True,1,NYU Grossman School of Medicine,Mayo Clinic,2024-10-11,235159040X
PR_00012,0450533156,William,Lewis,DO PhD,"William Lewis, DO PhD",Dermatology,1833 Fifth Ave,Suite 478,Queens,NY,14201,(323) 616-3532,1833 Fifth Ave,Suite 478,Queens,NY,14201,060NY255287,NY,2025-05-30,Yes,True,12,UCLA David Geffen School of Medicine,Massachusetts General Hospital,2025-06-03,298860009X
PR_00013,3654145864,Fatima,Perez,DO PhD,"Fatima Perez, DO PhD",Family Medicine,4066 Melrose Ave,,San Francisco,CA,90002,626- 749-6425,7712 Hollywood Blvd,,San Jose,CA,93001,A39831,CA,2024-04-01,Yes,True,17,Johns Hopkins School of Medicine,NewYork-Presbyterian Hospital,2025-08-14,214549543X
PR_00014,6159514846,Karen,Ramirez,MD PhD,"Karen Ramirez, MD PhD",Pathology,5140 Rodeo Dr,,San Diego,CA,92001,(626) 618-6344,728 Rodeo Dr,,Los Angeles,CA,94001,A80575,CA,2024-02-08,No,False,36,Johns Hopkins School of Medicine,Cleveland Clinic,2025-01-30,289245317X
PR_00015,7738721480,Jennifer,Lopez,MD PhD,"Jennifer Lopez, MD PhD",Pulmonology,7 Lexington Ave,,Buffalo,NY,10004,(626) 848-6491,7 Lexington Ave,,Buffalo,NY,10004,060NY786508,NY,2024-10-21,Yes,True,20,University of Pennsylvania Perelman School of Medicine,Cleveland Clinic,2025-06-19,203278320X
PR_00016,0163287082,Michael,Thomas,DO PhD,"Michael Thomas, DO PhD",Urology,1194 Santa Monica Blvd,Suite 813,Oakland,CA,95001,(917) 324-8478,1194 Santa Monica Blvd,Suite 813,Oakland,CA,95001,A62383,CA,2024-05-14,Yes,False,34,Yale School of Medicine,UCLA Medical Center,2025-01-19,282228802X
PR_00017,7347143453,Wei,Kumar,DO PhD,"Wei Kumar, DO PhD",Endocrinology,8977 Santa Monica Blvd,,San Francisco,CA,93001,929  753.2320,8977 Santa Monica Blvd,,San Francisco,CA,93001,A93579,CA,2024-07-21,Yes,True,15,UCLA David Geffen School of Medicine,Mayo Clinic,2024-09-06,228716269X
PR_00018,6705466880,David,Clark,DO PhD,"David Clark, DO PhD",Otolaryngology,7634 Second Ave,,New York,NY,10004,(424) 425-8999,7634 Second Ave,,New York,NY,10004,060NY907189,NY,2023-02-10,Yes,False,28,UCSF School of Medicine,Massachusetts General Hospital,2025-02-15,245114543X
PR_00019,7204653751,Priya,Sanchez,DO,"Priya Sanchez, DO",Dermatology,2092 Pico Blvd,,Los Angeles,CA,92001,(929) 979-7211,2092 Pico Blvd,,Los Angeles,CA,92001,A21003,CA,2025-05-27,No,False,17,Stanford University School of Medicine,Mount Sinai Hospital,2025-08-24,272399599X
PR_00020,1937452997,Michael,Thompson,DO,"Michael Thompson, DO",Nephrology,660 Main St,,San Jose,CA,90004,(818) 935-2876,660 Main St,,San Jose,CA,90004,A41266,CA,2023-09-16,Yes,False,7,University of Michigan Medical School,Massachusetts General Hospital,2025-03-27,277282128X
PR_00021,0586518502,Priya,Harris,DO PhD,"Priya Harris, DO PhD",Otolaryngology,3250 Wilshire Blvd,,San Jose,CA,90002,213  701.2729,3250 Wilshire Blvd,,San Jose,CA,90002,A99687,CA,2023-09-05,No,False,30,Johns Hopkins School of Medicine,UCSF Medical Center,2025-06-04,298488338X
PR_00022,7527354542,Susan,Moore,DO PhD,"Susan Moore, DO PhD",Family Medicine,9708 Lexington Avenue,,Rochester,NY,10004,(424) 918-5526,7386 Park Ave,,Syracuse,NY,14202,060NY497399,NY,2024-11-19,Unknown,True,34,University of Pennsylvania Perelman School of Medicine,Johns Hopkins Hospital,2025-05-02,296646785X
PR_00023,8856855744,Linda,Shah,DO,"Linda Shah, DO",Nephrology,8042 Santa Monica Blvd,Suite 514,Los Angeles,CA,90002,(347) 457-4777,8042 Santa Monica Blvd,Suite 514,Los Angeles,CA,90002,A50135,CA,2025-01-25,Yes,True,21,Stanford University School of Medicine,Mayo Clinic,2025-05-27,229042654X
PR_00024,0824008425,Maria,Patel,MD PhD,"Maria Patel, MD PhD",Anesthesiology,8596 Pico Blvd,,Fresno,CA,90002,(626) 970-9042,8596 Pico Blvd,,Fresno,CA,90002,A57301,CA,2024-01-03,Yes,True,37,Columbia University Vagelos College of Physicians and Surgeons,Mount Sinai Hospital,2024-12-31,259118721X
PR_00025,2941318698,Mary,Lopez,MD,"Mary Lopez, MD",Dermatology,7828 Fifth Ave,,Brooklyn,NY,11202,424  833.4697,7828 Fifth Ave,,Brooklyn,NY,11202,060NY819796,NY,2023-04-20,Unknown,False,29,UCSF School of Medicine,NewYork-Presbyterian Hospital,2024-11-05,257556566X
PR_00026,0344713493,Charles,Wang,MD,"Charles Wang, MD",Anesthesiology,1626 Hollywood Blvd,,San Jose,CA,90005,(626) 402-7965,2848 Ventura Blvd,Suite 561,San Diego,CA,90003,A87832,CA,2025-08-20,Yes,True,10,Columbia University Vagelos College of Physicians and Surgeons,Mayo Clinic,2025-07-28,208004482X
PR_00027,9065940132,William,Martin,MD PhD,"William Martin, MD PhD",Pediatrics,7680 Central Park West,,Buffalo,NY,11202,(626) 789-1339,7680 Central Park West,,Buffalo,NY,11202,060NY617781,NY,2025-06-15,Unknown,False,37,Harvard Medical School,Mayo Clinic,2025-01-05,269654147X
PR_00028,5674680718,Rajesh,Lewis,MD PhD,"Rajesh Lewis, MD PhD",Orthopedic Surgery,9591 Second Ave,,Syracuse,NY,10002,(929) 458-6296,9591 Second Ave,,Syracuse,NY,10002,060NY436653,NY,2023-08-03,Yes,False,33,Harvard Medical School,Mount Sinai Hospital,2025-02-03,207275149X
PR_00029,0932480860,Christopher,Singh,MD PhD,"Christopher Singh, MD PhD",Cardiology,8168 Santa Monica Blvd,Suite 234,LOS ANGELES,CA,90004,718  430.2858,8168 Santa Monica Blvd,Suite 234,Los Angeles,CA,90004,A67424,CA,2025-09-19,No,True,10,UCSF School of Medicine,NewYork-Presbyterian Hospital,2024-12-16,294678746X
PR_00030,6584044997,Thomas,Clark,DO PhD,"Thomas Clark, DO PhD",Emergency Medicine,3994 Santa Monica Blvd,Suite 713,San Francisco,CA,92001,(626) 701-3434,3994 Santa Monica Blvd,Suite 713,San Francisco,CA,92001,A27892,CA,2023-05-23,No,False,23,NYU Grossman School of Medicine,UCSF Medical Center,2025-01-12,243188224X
PR_00031,2702895178,Li,Gonzalez,DO,"Li Gonzalez, DO",Radiology,3827 Second Ave,,New York,NY,11201,(718) 738-8486,3827 Second Ave,,New York,NY,11201,060NY950823,NY,2025-02-19,Yes,True,27,Johns Hopkins School of Medicine,Johns Hopkins Hospital,2025-01-05,235570755X
PR_00032,1343161179,Mary,Yang,DO PhD,"Mary Yang, DO PhD",Urology,5384 Ventura Blvd,,Oakland,CA,91001,(646) 910-5906,5384 Ventura Blvd,,Oakland,CA,91001,A73956,CA,2023-03-15,Yes,True,21,Harvard Medical School,NewYork-Presbyterian Hospital,2025-03-03,250310319X
PR_00033,9237474079,Linda,Martinez,DO,"Linda Martinez, DO",Nephrology,9273 Columbus Ave,Suite 724,Queens,NY,10003,3478939955,9273 Columbus Ave,Suite 724,Queens,NY,10003,060NY749813,NY,2024-05-08,Yes,True,29,NYU Grossman School of Medicine,NewYork-Presbyterian Hospital,2024-10-10,256949781X
PR_00034,6409097430,Ahmed,Taylor,DO PhD,"Ahmed Taylor, DO PhD",Family Medicine,3264 Rodeo Dr,Suite 685,Santa Ana,CA,90002,(424) 560-4588,3264 Rodeo Dr,Suite 685,Santa Ana,CA,90002,A48780,CA,2024-08-27,Unknown,True,40,Columbia University Vagelos College of Physicians and Surgeons,Mayo Clinic,2024-10-16,213041121X
PR_00035,2858842476,Mohammed,Williams,MD PhD,"Mohammed Williams, MD PhD",Neurology,547 Pico Blvd,Suite 402,Sacramento,CA,90003,(347) 964-6549,547 Pico Blvd,Suite 402,Sacramento,CA,90003,A64460,CA,2023-12-26,Yes,False,5,Johns Hopkins School of Medicine,Cleveland Clinic,2024-09-21,297202721X
PR_00036,6513709858,Priya,Sanchez,MD PhD,"Priya Sanchez, MD PhD",Otolaryngology,6465 Broadway,Suite 477,Buffalo,NY,142**,(424) 426-2035,6465 Broadway,Suite 477,Buffalo,NY,14201,060NY805000,NY,2024-06-20,Unknown,False,20,UCLA David Geffen School of Medicine,Johns Hopkins Hospital,2025-06-23,206086345X
PR_00037,2617964058,Michael,Martin,DO PhD,"Michael Martin, DO PhD",Otolaryngology,3847 York Ave,,Queens,NY,11202,917- 654-8285,3847 York Ave,,Queens,NY,11202,060NY879238,NY,2025-05-08,Yes,False,7,NYU Grossman School of Medicine,UCLA Medical Center,2025-08-02,253437398X
PR_00038,3352904223,Thomas,Gonzalez,MD,"Thomas Gonzalez, MD",Otolaryngology,7451 Wilshire Blvd,,San Jose,CA,95001,(323) 456-3858,5465 Hollywood Blvd,Suite 949,San Francisco,CA,95001,A82641,CA,2024-02-29,Yes,True,9,Harvard Medical School,UCLA Medical Center,2025-05-04,279034501X
PR_00039,9178390842,Mary,Johnson,DO,"Mary Johnson, DO",Endocrinology,2077 Central Park West,Suite 165,Yonkers,NY,14201,(310) 858-1510,2077 Central Park West,Suite 165,Yonkers,NY,14201,060NY915809,NY,2025-01-11,Yes,False,26,UCLA David Geffen School of Medicine,Johns Hopkins Hospital,2024-12-25,295616885X
PR_00040,9847896119,Fatima,Lewis,MD,"Fatima Lewis, MD",Oncology,5278 Pico Blvd,Suite 739,San Francisco,CA,90002,(626) 866-4522,5278 Pico Blvd,Suite 739,San Francisco,CA,90002,A81874,CA,2024-10-27,No,False,15,UCLA David Geffen School of Medicine,UCLA Medical Center,2025-01-13,253516659X
PR_00041,6560494518,Linda,Miller,MD PhD,"Linda Miller, MD PhD",Cardiology,4177 Third Ave,Suite 951,Queens,NY,11203,424  719.4485,7076 Fifth Ave,,Rochester,NY,10003,060NY714953,NY,2024-11-06,Yes,False,15,Stanford University School of Medicine,UCLA Medical Center,2024-11-22,249333209X
PR_00042,4455022961,James,Moore,DO,"James Moore, DO",Orthopedic Surgery,9191 Pico Blvd,,Los Angeles,CA,95001,(718) 345-1502,9191 Pico Blvd,,Los Angeles,CA,95001,A45054,CA,2023-03-01,Yes,True,25,UCLA David Geffen School of Medicine,Mount Sinai Hospital,2025-03-12,221127115X
PR_00043,7679764386,Patricia,Martin,MD PhD,"Patricia Martin, MD PhD",Emergency Medicine,9300 Pico Blvd,Suite 872,SAN DIEGO,CA,90001,(718) 553-8043,9300 Pico Blvd,Suite 872,San Diego,CA,90001,A98338,CA,2023-06-17,Yes,False,38,UCSF School of Medicine,NewYork-Presbyterian Hospital,2025-08-10,229597483X
PR_00044,5160607157,Jennifer,Liu,MD,"Jennifer Liu, MD",Ophthalmology,4939 Park Ave,Suite 222,Queens,NY,10005,(424) 639-7626,7056 Madison Ave,,Queens,NY,11202,060NY341288,NY,2025-10-21,Unknown,False,19,Stanford University School of Medicine,UCSF Medical Center,2025-08-23,243589647X
PR_00045,5352181886,William,Yang,DO PhD,"William Yang, DO PhD",Anesthesiology,5929 Wilshire Blvd,Suite 703,Oakland,CA,90002,917- 994-6724,5929 Wilshire Blvd,Suite 703,Oakland,CA,90002,A20308,CA,2025-03-21,No,True,16,Stanford University School of Medicine,Mayo Clinic,2025-04-24,226477373X
PR_00046,2717744909,William,Liu,DO,"William Liu, DO",Anesthesiology,1235 Sunset Blvd,,Santa Ana,CA,93001,(929) 719-2215,1235 Sunset Blvd,,Santa Ana,CA,93001,A68838,CA,2024-10-23,No,False,29,Harvard Medical School,Massachusetts General Hospital,2025-02-26,238530827X
PR_00047,7820715180,David,Garcia,DO PhD,"David Garcia, DO PhD",Urology,9082 Central Park West,,New York,NY,11203,(626) 376-1641,9082 Central Park West,,New York,NY,11203,060NY297383,NY,2024-10-20,Yes,False,29,Yale School of Medicine,Mayo Clinic,2025-02-28,250043345X
PR_00048,9251925468,Fatima,Jackson,DO PhD,"Fatima Jackson, DO PhD",Emergency Medicine,5544 Columbus Ave,Suite 196,New York,NY,11201,(646) 809-2388,5544 Columbus Ave,Suite 196,New York,NY,11201,060NY505341,NY,2024-08-04,No,False,22,Johns Hopkins School of Medicine,Johns Hopkins Hospital,2024-10-07,289987086X
PR_00049,1418880598,Linda,Kumar,MD PhD,"Linda Kumar, MD PhD",Dermatology,5061 Madison Ave,,Bronx,NY,11201,6468117172,5061 Madison Ave,,Bronx,NY,11201,060NY337547,NY,2023-10-09,Yes,True,12,University of Michigan Medical School,Mayo Clinic,2025-01-21,205864298X
PR_00050,7746886233,Linda,White,DO,"Linda White, DO",Otolaryngology,4669 Santa Monica Blvd,Suite 928,San Jose,CA,940**,(424) 341-5096,4669 Santa Monica Blvd,Suite 928,San Jose,CA,94001,A35430,CA,2025-01-23,Yes,False,24,Yale School of Medicine,Johns Hopkins Hospital,2024-09-03,269244185X
PR_00051,3615305157,Li,Davis,MD PhD,"Li Davis, MD PhD",Pathology,2627 Lexington Ave,Suite 547,Syracuse,NY,14201,(646) 340-1627,3638 First Ave,,Rochester,NY,10001,060NY515712,NY,2025-10-25,No,False,9,UCSF School of Medicine,Mount Sinai Hospital,2024-10-22,200704803X
PR_00052,6971179804,Mohammed,Garcia,MD,"Mohammed Garcia, MD",Psychiatry,2450 York Ave,Suite 395,Albany,NY,11202,(626) 727-4963,2450 York Ave,Suite 395,Albany,NY,11202,060NY227767,NY,2023-04-08,Unknown,True,19,UCLA David Geffen School of Medicine,Massachusetts General Hospital,2024-10-23,247354167X
PR_00053,0670654054,Joseph,Wang,DO PhD,"Joseph Wang, DO PhD",Ophthalmology,1403 York Ave,,Rochester,NY,10002,7185534950,1403 York Ave,,Rochester,NY,10002,060NY924613,NY,2025-11-05,Unknown,True,38,NYU Grossman School of Medicine,Mayo Clinic,2025-08-11,247284777X
PR_00054,0305486872,Jessica,Perez,DO,"Jessica Perez, DO",Neurology,7613 Santa Monica Blvd,Suite 894,San Francisco,CA,90003,(347) 237-4131,7613 Santa Monica Blvd,Suite 894,San Francisco,CA,90003,A14847,CA,2024-08-23,No,False,4,NYU Grossman School of Medicine,NewYork-Presbyterian Hospital,2025-07-01,249394697X
PR_00055,6169284512,Linda,Sanchez,DO PhD,"Linda Sanchez, DO PhD",Pediatrics,6335 Beverly Dr,,San Francisco,CA,93001,(718) 535-5843,6335 Beverly Dr,,San Francisco,CA,93001,A78062,CA,2024-06-30,No,False,39,UCLA David Geffen School of Medicine,Mayo Clinic,2024-09-14,259580374X
PR_00056,5820297026,Patricia,Lewis,MD,"Patricia Lewis, MD",Oncology,5777 Pico Blvd,,Oakland,CA,90005,(718) 441-7001,5777 Pico Blvd,,Oakland,CA,90005,A17518,CA,2023-06-03,No,False,37,Harvard Medical School,Mayo Clinic,2024-09-20,260387584X
PR_00057,7868144732,Patricia,White,DO PhD,"Patricia White, DO PhD",Orthopedic Surgery,9404 Sunset Blvd,,Sacramento,CA,92001,(424) 492-9047,9404 Sunset Blvd,,Sacramento,CA,92001,A24869,CA,2023-02-23,Yes,True,9,Stanford University School of Medicine,Mount Sinai Hospital,2025-06-06,295746886X
PR_00058,8313237059,Elizabeth,Garcia,MD PhD,"Elizabeth Garcia, MD PhD",Pathology,1064 Ventura Blvd,,Fresno,CA,90005,(323) 786-7044,1064 Ventura Blvd,,Fresno,CA,90005,A93584,CA,2023-12-23,No,True,40,Stanford University School of Medicine,Johns Hopkins Hospital,2025-03-28,253440127X
PR_00059,2892268014,Ahmed,Patel,DO PhD,"Ahmed Patel, DO PhD",Pathology,9420 Wilshire Blvd,,San Francisco,CA,91001,(323) 356-5982,9420 Wilshire Blvd,,San Francisco,CA,91001,A99143,CA,2025-11-25,Yes,True,21,University of Pennsylvania Perelman School of Medicine,UCLA Medical Center,2024-12-11,238124318X
PR_00060,0010943964,Li,Garcia,MD PhD,"Li Garcia, MD PhD",Otolaryngology,9025 Lexington Ave,,Queens,NY,10005,(424) 854-1496,2763 Amsterdam Ave,,Queens,NY,10003,060NY855638,NY,2024-11-22,No,False,20,UCSF School of Medicine,Cleveland Clinic,2024-09-17,254504816X
PR_00061,5625881539,Charles,Robinson,MD,"Charles Robinson, MD",Pediatrics,2590 Santa Monica Blvd,,Oakland,CA,93001,310  325.5382,2590 Santa Monica Blvd,,Oakland,CA,93001,A28830,CA,2024-10-02,No,True,10,Stanford University School of Medicine,Massachusetts General Hospital,2025-04-07,251559717X
PR_00062,4701687330,Li,Yang,DO PhD,"Li Yang, DO PhD",Nephrology,2617 Third Ave,,Rochester,NY,10004,(424) 561-1797,2617 Third Ave,,Rochester,NY,10004,060NY639728,NY,2025-08-14,Yes,False,32,University of Michigan Medical School,Mount Sinai Hospital,2025-04-09,272033413X
PR_00063,8416878492,John,Miller,DO PhD,"John Miller, DO PhD",Pathology,4334 Central Park West,,Rochester,NY,11202,(626) 825-2946,4334 Central Park West,,Rochester,NY,11202,060NY697983,NY,2024-02-03,Yes,True,26,NYU Grossman School of Medicine,UCLA Medical Center,2024-11-21,249070856X
PR_00064,2982595268,Carlos,Martinez,DO,"Carlos Martinez, DO",Pulmonology,6577 Ventura Blvd,Suite 830,Los Angeles,CA,90001,(424) 957-5902,6577 Ventura Blvd,Suite 830,Los Angeles,CA,90001,A72094,CA,2025-11-29,Unknown,False,33,Yale School of Medicine,Mount Sinai Hospital,2024-09-05,275554415X
PR_00065,9728962307,Charles,Patel,MD,"Charles Patel, MD",Internal Medicine,1796 Second Ave,,Buffalo,NY,10001,424  917.2800,1796 Second Ave,,Buffalo,NY,10001,060NY787436,NY,2024-04-11,Yes,True,29,NYU Grossman School of Medicine,UCSF Medical Center,2025-06-17,255426567X
PR_00066,6527858544,Ahmed,Wilson,DO PhD,"Ahmed Wilson, DO PhD",Endocrinology,7727 Central Park West,,New York,NY,10003,(424) 695-4150,7727 Central Park West,,New York,NY,10003,060NY794395,NY,2025-09-06,Yes,False,36,Columbia University Vagelos College of Physicians and Surgeons,Cleveland Clinic,2025-04-03,238789478X
PR_00067,4041574738,Ahmed,Wilson,DO PhD,"Ahmed Wilson, DO PhD",Dermatology,5715 York Ave,Suite 792,Buffalo,NY,10005,(917) 751-5442,5715 York Ave,Suite 792,Buffalo,NY,10005,060NY513697,NY,2024-12-07,Unknown,False,9,Stanford University School of Medicine,Cleveland Clinic,2025-05-01,206813620X
PR_00068,4540193801,Priya,Singh,DO,"Priya Singh, DO",Neurology,861 Wilshire Blvd,,Oakland,CA,91001,(646) 627-3880,2253 Main St,,San Francisco,CA,92001,A72350,CA,2025-09-04,Yes,False,32,Johns Hopkins School of Medicine,NewYork-Presbyterian Hospital,2025-08-14,201243818X
PR_00069,4315274203,Charles,Wang,MD,"Charles Wang, MD",Pulmonology,5490 Melrose Ave,,Santa Ana,CA,94001,8185455833,5490 Melrose Ave,,Santa Ana,CA,94001,A27589,CA,2025-10-29,Unknown,True,12,University of Michigan Medical School,UCSF Medical Center,2025-01-27,269159799X
